ds,yhat,yhat_lower,yhat_upper
2021-03-31,1772.9644894920762,1716.0002333326224,1839.286337881493
2021-04-01,1777.740048346356,1715.475295221245,1840.0190533606853
2021-04-05,1785.5165907135233,1721.278715858247,1848.9299458221624
2021-04-06,1791.6820501840775,1734.2988687741304,1856.2657355620186
2021-04-07,1795.6805886958632,1728.233741501815,1856.4699931039613
2021-04-08,1799.0916865845622,1732.479144986155,1865.180875315408
2021-04-09,1801.1058922587272,1735.854085683671,1866.8994575248466
2021-04-12,1812.680871148016,1742.8942486160724,1873.1691753319185
2021-04-13,1819.4074162440243,1753.4844112355988,1880.1579199862613
2021-04-14,1825.4347221521139,1760.914871229018,1886.7438055120108
2021-04-15,1829.2590215727823,1762.3751523016745,1897.4675195539605
2021-04-16,1831.0836762695167,1765.5564073196174,1894.9250110616867
2021-04-19,1834.7151770454427,1768.1588136244766,1897.6106944669666
2021-04-20,1837.6287720798348,1765.7454315589523,1896.7272937078774
2021-04-21,1838.0677065036612,1776.6331046585037,1898.9440133250716
2021-04-22,1838.775718322,1777.3255640139676,1902.1820671850194
2021-04-23,1838.3414260184286,1774.5356186018428,1899.4106772579246
2021-04-26,1833.5109472191189,1773.0478555887807,1898.4915101628856
2021-04-27,1835.3430006644026,1775.1485472777379,1901.2434477196937
2021-04-28,1834.9644220237742,1769.593865723529,1900.5087914260166
2021-04-29,1834.5113019675862,1770.7344681625348,1899.9103987340943
2021-04-30,1831.121330538846,1764.1049632210147,1890.6785685010245
2021-05-03,1824.201531986405,1764.1658888514457,1884.3611106359242
2021-05-04,1825.8351350616185,1766.1721964686187,1889.1221525566864
2021-05-05,1824.8176588907882,1764.3770167097882,1885.8208807421356
2021-05-06,1823.308074465305,1762.2034600165816,1885.7378790291978
2021-05-07,1821.5255098894115,1765.4786168004573,1882.4657388740584
2021-05-10,1817.0123442136003,1756.589586817816,1880.513073732385
2021-05-11,1819.418017586313,1759.4244829932807,1884.7033996798725
2021-05-12,1820.3727080709632,1754.2542148908872,1880.8746407719514
2021-05-13,1819.4624174864148,1756.264418054975,1884.5491435539516
2021-05-14,1820.0464587878807,1755.8045875799826,1880.6288448572293
2021-05-17,1820.250413461535,1755.3581986826603,1880.393044885654
2021-05-18,1823.0777705882417,1764.5407418079706,1887.6333427048373
